time,range,bssid,type,name,etc1,etc2,lat,lon
11/8/2017 10:02,-27dB,84:3a:4b:04:d6:66,PREQ,,,,34.5166667,69.1833344
11/8/2017 10:02,-40dB,88:79:7e:eb:1c:1f,PREQ,,,,31.61,65.6999969
11/8/2017 10:02,-54dB,b8:27:eb:28:39:45,PREQ,,,,36.7069444,67.1122208
11/8/2017 10:02,-57dB,74:da:38:92:5f:b4,PREQ,,,,34.34,62.1899986
11/8/2017 10:02,-58dB,88:79:7e:74:5b:de,PREQ,,,,34.42,70.4499969
11/8/2017 10:02,-58dB,ec:01:ee:cc:74:ec,PREQ,TP-LINK_3166,,,36.72,68.8600006
11/8/2017 10:02,-58dB,ec:01:ee:cc:74:ec,PREQ,,,,33.5535554,68.4268875
11/8/2017 10:02,-60dB,e4:02:9b:22:db:5c,PREQ,,,,36.7586111,66.8961105
11/8/2017 10:02,-60dB,a4:70:d6:7a:ac:c5,PREQ,,,,36.12,68.6999969
11/8/2017 10:02,-62dB,38:71:de:de:9f:ac,PREQ,,,,33.59,69.2200012
11/8/2017 10:02,-62dB,da:a1:19:ef:b6:7f,PREQ,,,,33.3380556,69.9202805
11/8/2017 10:02,-63dB,dc:1a:c5:5c:c5:13,PREQ,,,,36.68,69.1100006
11/8/2017 10:02,-63dB,dc:1a:c5:5c:c5:13,PREQ,sentinal,,,36.6952778,67.6980591
11/8/2017 10:02,-63dB,dc:1a:c5:5c:c5:13,PREQ,sentinel,,,36.7360511,69.5345078
11/8/2017 10:02,-64dB,da:a1:19:61:0b:aa,PREQ,,,,34.2654452,67.3451614
11/8/2017 10:02,-65dB,c4:d9:87:39:ba:93,PREQ,,,,35.9425,68.7191696
11/8/2017 10:02,-66dB,ac:c3:3a:31:e5:2b,PREQ,,,,36.6672222,65.7536087
11/8/2017 10:02,-66dB,da:a1:19:ad:fe:5e,PREQ,,,,35.013611,69.1713867
11/8/2017 10:02,-66dB,c4:d9:87:39:ba:93,PREQ,Elixirst1,,,36.2155556,65.9363861
11/8/2017 10:02,-67dB,a0:82:1f:93:78:fb,PREQ,shoper360,,,34.5875,68.953331
11/8/2017 10:02,-67dB,a0:82:1f:93:78:fb,PREQ,,,,36.2652778,68.0166702
11/8/2017 10:02,-68dB,bc:2f:3d:1a:b1:6e,PREQ,,,,31.58,64.3600006
11/8/2017 10:02,-68dB,e0:98:61:47:62:56,PREQ,,,,31.8188889,64.5647202
11/8/2017 10:02,-68dB,68:c4:4d:8b:51:41,PREQ,,,,32.37,62.1100006
11/8/2017 10:02,-69dB,84:10:0d:54:24:8b,PREQ,,,,37.1175,70.5797195
11/8/2017 10:02,-70dB,dc:e8:38:2d:53:33,PREQ,,,,33.3,62.1399994
11/8/2017 10:02,-70dB,48:45:20:a0:8f:a7,PREQ,,,,36.9525,65.1236115
11/8/2017 10:02,-72dB,da:a1:19:2c:93:7f,PREQ,,,,37.1275,69.8305588
11/8/2017 10:02,-72dB,a2:54:ff:f9:a7:79,PREQ,,,,37.2211111,68.7799988
11/8/2017 10:02,-72dB,00:12:5f:0a:b9:63,PREQ,GUESTWIFI,,,36.0652778,69.1338882
